web_url,snippet,source,keywords,pub_date,word_count,headline.main,headline.kicker,headline.content_kicker,headline.print_headline,headline.name,headline.seo,headline.sub,byline.original,byline.organization,title,page,results,total_pages,total_results,genres,spoken_languages,production_countries
https://www.nytimes.com/2023/05/25/movies/the-attachment-diaries-review.html,"A gynecologist and her patient form a horrifyingly twisted connection in this batty, bloody Argentine melodrama.",The New York Times,"[{""name"": ""subject"", ""value"": ""Movies"", ""rank"": 1, ""major"": ""N""}, {""name"": ""creative_works"", ""value"": ""The Attachment Diaries (Movie)"", ""rank"": 2, ""major"": ""N""}, {""name"": ""persons"", ""value"": ""Diment, Valentin Javier"", ""rank"": 3, ""major"": ""N""}]",2023-05-25T11:00:03+0000,295.0,"‘The Attachment Diaries’ Review: Love, Sick",,,The Attachment Diaries,,,,By Jeannette Catsoulis,,‘The Attachment Diaries’ Review,,,,,nan,nan,nan
https://www.nytimes.com/2023/05/04/movies/whats-love-got-to-do-with-it-review.html,Two childhood friends navigate cultural differences in this pleasantly uncontentious romantic comedy.,The New York Times,"[{""name"": ""subject"", ""value"": ""Movies"", ""rank"": 1, ""major"": ""N""}, {""name"": ""persons"", ""value"": ""Kapur, Shekhar"", ""rank"": 2, ""major"": ""N""}, {""name"": ""persons"", ""value"": ""James, Lily"", ""rank"": 3, ""major"": ""N""}, {""name"": ""persons"", ""value"": ""Azmi, Shabana"", ""rank"": 4, ""major"": ""N""}, {""name"": ""persons"", ""value"": ""Thompson, Emma"", ""rank"": 5, ""major"": ""N""}]",2023-05-04T17:16:45+0000,287.0,Review: ‘What’s Love Got to Do With It?’ Probably a Lot,,,What’s Love Got to Do With It?,,,,By Jeannette Catsoulis,,Review,,,,,nan,nan,nan
https://www.nytimes.com/2018/11/01/movies/theyll-love-me-when-im-dead-review-documentary.html,Morgan Neville’s movie tells the tumultuous behind-the-scenes story of the making and near-unmaking of “The Other Side of the Wind.”,The New York Times,"[{""name"": ""subject"", ""value"": ""Documentary Films and Programs"", ""rank"": 1, ""major"": ""N""}, {""name"": ""creative_works"", ""value"": ""They'll Love Me When I'm Dead (Movie)"", ""rank"": 2, ""major"": ""N""}, {""name"": ""persons"", ""value"": ""Neville, Morgan"", ""rank"": 3, ""major"": ""N""}, {""name"": ""creative_works"", ""value"": ""The Other Side of the Wind (Movie)"", ""rank"": 4, ""major"": ""N""}, {""name"": ""persons"", ""value"": ""Welles, Orson"", ""rank"": 5, ""major"": ""N""}]",2018-11-01T13:56:39+0000,794.0,Review: ‘They’ll Love Me When I’m Dead’ Documents Orson Welles’s Last Film,,,The Legend Behind The Scenes,,,,By Manohla Dargis,,Review,,,,,nan,nan,nan
https://www.nytimes.com/2018/10/25/movies/burning-review.html,The great South Korean director Lee Chang-dong’s latest involves three characters subsumed by desire and rage.,The New York Times,"[{""name"": ""subject"", ""value"": ""Movies"", ""rank"": 1, ""major"": ""N""}, {""name"": ""creative_works"", ""value"": ""Burning (Movie)"", ""rank"": 2, ""major"": ""N""}, {""name"": ""persons"", ""value"": ""Lee Chang-dong"", ""rank"": 3, ""major"": ""N""}, {""name"": ""persons"", ""value"": ""Yeun, Steven"", ""rank"": 4, ""major"": ""N""}, {""name"": ""persons"", ""value"": ""Murakami, Haruki"", ""rank"": 5, ""major"": ""N""}]",2018-10-25T17:39:04+0000,949.0,"Review: In ‘Burning,’ Love Ignites a Divided World",,,Love Ignites a Divided World,,,,By Manohla Dargis,,Review,,,,,nan,nan,nan
https://www.nytimes.com/2018/10/11/movies/after-everything-review.html,This cancer drama focuses less on the high stakes of illness than on how two young people talk to each other in sickness and in health.,The New York Times,"[{""name"": ""subject"", ""value"": ""Movies"", ""rank"": 1, ""major"": ""N""}, {""name"": ""creative_works"", ""value"": ""After Everything (Movie)"", ""rank"": 2, ""major"": ""N""}, {""name"": ""persons"", ""value"": ""White, Jeremy Allen"", ""rank"": 3, ""major"": ""N""}, {""name"": ""persons"", ""value"": ""Monroe, Maika"", ""rank"": 4, ""major"": ""N""}]",2018-10-11T11:00:01+0000,268.0,"Review: In ‘After Everything,’ a Young Love Blooms in Crisis",,,After Everything,,,,By Teo Bugbee,,Review,,,,,nan,nan,nan
https://www.nytimes.com/2018/09/20/movies/quincy-review-quincy-jones.html,"A documentary reveals its octogenarian subject as still busy and productive, and not a little haunted by memories of friends now gone.",The New York Times,"[{""name"": ""creative_works"", ""value"": ""Quincy (Movie)"", ""rank"": 1, ""major"": ""N""}, {""name"": ""persons"", ""value"": ""Jones, Quincy"", ""rank"": 2, ""major"": ""N""}, {""name"": ""persons"", ""value"": ""Jones, Rashida"", ""rank"": 3, ""major"": ""N""}, {""name"": ""persons"", ""value"": ""Hicks, Alan"", ""rank"": 4, ""major"": ""N""}, {""name"": ""subject"", ""value"": ""Documentary Films and Programs"", ""rank"": 5, ""major"": ""N""}, {""name"": ""subject"", ""value"": ""Music"", ""rank"": 6, ""major"": ""N""}, {""name"": ""organizations"", ""value"": ""Netflix Inc"", ""rank"": 7, ""major"": ""N""}]",2018-09-20T14:00:01+0000,460.0,Review: ‘Quincy’ Captures a Lifelong Love Affair With Music,,,The Man Behind the Music,,,,By Glenn Kenny,,Review,,,,,nan,nan,nan
https://www.nytimes.com/2018/09/20/movies/love-gilda-review-saturday-night-live-documentary.html,"Adding to the booming genre of comedian documentaries, this film is an affectionate portrait of one of the first major stars of “Saturday Night Live.”",The New York Times,"[{""name"": ""subject"", ""value"": ""Documentary Films and Programs"", ""rank"": 1, ""major"": ""N""}, {""name"": ""creative_works"", ""value"": ""Love, Gilda (Movie)"", ""rank"": 2, ""major"": ""N""}, {""name"": ""persons"", ""value"": ""Radner, Gilda"", ""rank"": 3, ""major"": ""N""}, {""name"": ""persons"", ""value"": ""D'Apolito, Lisa"", ""rank"": 4, ""major"": ""N""}, {""name"": ""creative_works"", ""value"": ""Saturday Night Live (TV Program)"", ""rank"": 5, ""major"": ""N""}, {""name"": ""subject"", ""value"": ""Television"", ""rank"": 6, ""major"": ""N""}, {""name"": ""subject"", ""value"": ""Comedy and Humor"", ""rank"": 7, ""major"": ""N""}]",2018-09-20T11:00:01+0000,421.0,"Review: In ‘Love, Gilda,’ a Portrait of a Brief and Brilliant Career",,,"Eccentric Charm, Raucous Abandon",,,,By Jason Zinoman,,Review,,,,,nan,nan,nan
https://www.nytimes.com/2018/09/20/movies/tea-with-the-dames-review.html,"This documentary with a simple premise — Eileen Atkins, Judi Dench, Joan Plowright and Maggie Smith in conversation — delivers insight and gossip.",The New York Times,"[{""name"": ""subject"", ""value"": ""Documentary Films and Programs"", ""rank"": 1, ""major"": ""N""}, {""name"": ""creative_works"", ""value"": ""Tea with the Dames (Movie)"", ""rank"": 2, ""major"": ""N""}, {""name"": ""persons"", ""value"": ""Dench, Judi"", ""rank"": 3, ""major"": ""N""}, {""name"": ""persons"", ""value"": ""Smith, Maggie"", ""rank"": 4, ""major"": ""N""}, {""name"": ""persons"", ""value"": ""Plowright, Joan"", ""rank"": 5, ""major"": ""N""}, {""name"": ""persons"", ""value"": ""Hebets, Eileen A"", ""rank"": 6, ""major"": ""N""}, {""name"": ""persons"", ""value"": ""Michell, Roger"", ""rank"": 7, ""major"": ""N""}]",2018-09-20T11:00:01+0000,271.0,"Review: In ‘Tea With the Dames,’ Four Legends Dish on Acting and Love",,,Tea With the Dames,,,,By Glenn Kenny,,Review,,,,,nan,nan,nan
https://www.nytimes.com/2018/09/13/movies/bel-canto-review-julianne-moore.html,Julianne Moore plays an opera singer trapped in a South American mansion in this disappointingly passionless film.,The New York Times,"[{""name"": ""subject"", ""value"": ""Movies"", ""rank"": 1, ""major"": ""N""}, {""name"": ""persons"", ""value"": ""Moore, Julianne"", ""rank"": 2, ""major"": ""N""}, {""name"": ""persons"", ""value"": ""Weitz, Paul"", ""rank"": 3, ""major"": ""N""}, {""name"": ""persons"", ""value"": ""Watanabe, Ken"", ""rank"": 4, ""major"": ""N""}, {""name"": ""creative_works"", ""value"": ""Bel Canto (Movie)"", ""rank"": 5, ""major"": ""N""}]",2018-09-13T11:00:01+0000,464.0,"Review: In ‘Bel Canto,’ Music Is the Food of Love and Rebellion",,,This Hostage Can Hold a Tune,,,,By Jeannette Catsoulis,,Review,,,,,nan,nan,nan
https://www.nytimes.com/2018/07/05/movies/the-citizen-review.html,"This Hungarian film is a careful, compassionate and beautifully acted character drama with a social conscience.",The New York Times,"[{""name"": ""subject"", ""value"": ""Movies"", ""rank"": 1, ""major"": ""N""}, {""name"": ""creative_works"", ""value"": ""The Citizen (Movie)"", ""rank"": 2, ""major"": ""N""}, {""name"": ""persons"", ""value"": ""Vranik, Roland"", ""rank"": 3, ""major"": ""N""}]",2018-07-05T12:00:01+0000,274.0,"Review: In ‘The Citizen,’ an Immigrant Picks a Bad Time to Fall in Love",,,The Citizen,,,,By Glenn Kenny,,Review,,,,,nan,nan,nan
https://www.nytimes.com/2018/06/28/movies/love-cecil-beaton-documentary-review.html,"Lisa Immordino Vreeland’s new documentary is about Cecil Beaton, the British dandy, photographer and theatrical designer.",The New York Times,"[{""name"": ""subject"", ""value"": ""Documentary Films and Programs"", ""rank"": 1, ""major"": ""N""}, {""name"": ""creative_works"", ""value"": ""Love, Cecil (Movie)"", ""rank"": 2, ""major"": ""N""}, {""name"": ""persons"", ""value"": ""Beaton, Cecil"", ""rank"": 3, ""major"": ""N""}, {""name"": ""persons"", ""value"": ""Vreeland, Lisa Immordino"", ""rank"": 4, ""major"": ""N""}]",2018-06-28T11:00:01+0000,293.0,"Review: In ‘Love, Cecil,’ an Aesthete Ahead of His Time",,,"Love, Cecil",,,,By Glenn Kenny,,Review,,,,,nan,nan,nan
https://www.nytimes.com/2018/05/24/movies/how-to-talk-to-girls-at-parties-review.html,John Cameron Mitchell’s loony romantic comedy encourages young love to bloom in the soil of an alien visitation.,The New York Times,"[{""name"": ""subject"", ""value"": ""Movies"", ""rank"": 1, ""major"": ""N""}, {""name"": ""creative_works"", ""value"": ""How to Talk to Girls at Parties (Movie)"", ""rank"": 2, ""major"": ""N""}, {""name"": ""persons"", ""value"": ""Mitchell, John Cameron"", ""rank"": 3, ""major"": ""N""}, {""name"": ""persons"", ""value"": ""Fanning, Elle"", ""rank"": 4, ""major"": ""N""}, {""name"": ""persons"", ""value"": ""Sharp, Alexander"", ""rank"": 5, ""major"": ""N""}]",2018-05-24T11:00:01+0000,458.0,Review: An Alien Teaches a Teenage Punk ‘How to Talk to Girls at Parties’,,,Otherworldly Love in a Punk-Rock World,,,,By Jeannette Catsoulis,,Review,,,,,nan,nan,nan
https://www.nytimes.com/2018/04/26/movies/review-rogers-park.html,Two couples struggle to find serenity as middle age and its multiple discontents come breathing down their necks.,The New York Times,"[{""name"": ""subject"", ""value"": ""Movies"", ""rank"": 1, ""major"": ""N""}, {""name"": ""creative_works"", ""value"": ""Rogers Park (Movie)"", ""rank"": 2, ""major"": ""N""}, {""name"": ""persons"", ""value"": ""Henry, Kyle"", ""rank"": 3, ""major"": ""N""}]",2018-04-26T11:00:10+0000,325.0,"Review: In ‘Rogers Park,’ Life and Love in a Chicago Neighborhood",,,Rogers Park,,,,By Glenn Kenny,,Review,,,,,nan,nan,nan
https://www.nytimes.com/2018/04/26/movies/love-and-bananas-review-asian-elephants.html,"In this personal movie, the actress Ashley Bell embarks on an elephant rescue in Thailand that also reveals the threats to the animal’s survival.",The New York Times,"[{""name"": ""creative_works"", ""value"": ""Love & Bananas: An Elephant Story (Movie)"", ""rank"": 1, ""major"": ""N""}, {""name"": ""persons"", ""value"": ""Bell, Ashley (1986- )"", ""rank"": 2, ""major"": ""N""}, {""name"": ""subject"", ""value"": ""Elephants"", ""rank"": 3, ""major"": ""N""}, {""name"": ""subject"", ""value"": ""Animal Abuse, Rights and Welfare"", ""rank"": 4, ""major"": ""N""}, {""name"": ""subject"", ""value"": ""Documentary Films and Programs"", ""rank"": 5, ""major"": ""N""}]",2018-04-26T11:00:01+0000,254.0,"Review: In ‘Love & Bananas,’ Uncovering the Plight of the Asian Elephant",,,Love &amp; Bananas: An Elephant Story,,,,By Glenn Kenny,,Review,,,,,nan,nan,nan
